ID,Name,Category,Address,Phone,Email,Has_Website,Rating,Review_Count,Priority_Score,Status,Notes,Latitude,Longitude,Created_At,Last_Contacted_At
34,"TALENT GROUP no1 business networks..","Business management consultant","No 7, Curzon complex, brigade, road, next to sweet Chariot, Doddanna Layout, Kadugondanahalli, Bengaluru, Karnataka 560045",09886365001,,No,4.70,4,85,new,"",,,Wed Oct 29 2025 14:36:46 GMT+0530 (India Standard Time),
25,"Context India","Business management consultant","79, 5th Street, Bank Ave Main Rd, opposite Kanti Sweets, Babusapalya, Bengaluru, Karnataka 560113",09448802706,,No,3.80,3,75,new,"",,,Wed Oct 29 2025 14:05:36 GMT+0530 (India Standard Time),
11,"Finz Business Solutions","Accounting firm","1st floor, Mythri Legacy, 9, Chelekere Main Rd, Chellikere, Chelekare, Kalyan Nagar, Bengaluru, Karnataka 560113",09900077353,,No,5.00,5,85,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
12,"Sresta Technologies","Software company","MARIYAPPA ROAD, Kammanahalli Main Rd, Bengaluru, Karnataka 560043",09902290006,,Yes,4.80,4,55,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
13,"SmappAnalytics","Marketing consultant","No 3C, Orangery Plaza, 916, HRBR Layout 1st Block, HRBR Layout, Banaswadi, Bengaluru, Karnataka 560043",09742531135,,Yes,5.00,5,55,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
14,"Commercial and Business Aviation Services Pvt Ltd","Aviation consultant","232, “Paramjyoti, 5th A Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",08025426822,,No,4.00,4,80,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
15,"ThoughtWare Training Pvt Ltd(ExxpertSCM, ThoughtWare Analytics)","Consultant","Ashwathappa Layout, No-46, 2nd Floor, 80 Feet Road, Dodda Banaswadi Main Rd, Bengaluru, Karnataka 560033",08970721253,,Yes,4.70,4,55,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
16,"Business Intellects","Business management consultant","9th A Main Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",08095588020,,Yes,4.30,4,50,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
17,"Support Corporate Consulting","Business management consultant","BubbleSpace Co-working 824, HRBR 1 Block,, Venkateshappa Layout, Kalyan Nagar, Bengaluru, Karnataka 560033",,,Yes,4.20,4,30,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
18,"Kaira Technologies","Audio visual equipment supplier","Ashriwad Nivas, Kaira Technologies 122, 5th B Main Rd, Chikkathayappa Layout, Chelekare, Bengaluru, Karnataka 560043",08971516555,,Yes,5.00,5,55,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
19,"WSP Consultants India Pvt. Ltd.","Engineering consultant","11 th floor, Mfar Manyata Tech Park Greenheart Phase IV Embassy Manyata Business Park, Outer Ring Rd, opposite to BEL Corporate Office, Manayata Tech Park, Nagavara, Bengaluru, Karnataka 560045",08067033500,,Yes,4.60,4,55,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
20,"Countix Solutions Private Limited","Bookkeeping service","3rd Floor, SMART AVENUE, Unit No. TF - 04, 38/17, #1678, Nehru Rd, HRBR Layout, Kammanahalli, Bengaluru, Karnataka 560084",09400979579,,Yes,5.00,5,57,new,"",,,Wed Oct 29 2025 13:37:21 GMT+0530 (India Standard Time),
1,"TiE Bangalore","Business networking company","3rd Floor, A-wing, Divyasree Chambers, 11, O’ Shaughnessy Road, Akkithimana Halli, Langford Town, Langford Gardens, Bengaluru, Karnataka 560027",08041474567,,Yes,4.20,4,50,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
2,"FranTiger Business Consulting Pvt. Ltd.","Business management consultant","AVS Compound, 38, 20th L Cross Rd, near Sony Signal, 4th Block, Koramangala, Bengaluru, Karnataka 560034",09548444445,,Yes,4.40,4,50,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
3,"BADA BUSINESS -Bengaluru Office","Business management consultant","No 5, 1st Floor, #898, ATNT compleex, 20th Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095",09945044012,,Yes,5.00,5,55,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
4,"Company Registration in Bangalore - Companyregistrations.co.in","Chartered accountant","401, Suncity Apartment, Sarjapura Ring Road, 6th, Main Road, Bengaluru, Karnataka 560103",,,Yes,5.00,5,35,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
5,"Chanakya Business Management Solutions","Business management consultant","Pappya Reddy Layout, Maruthi nagara, Bengaluru, Karnataka 560068",,,No,5.00,5,65,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
6,"Business Consultancy - Bengaluru","Business management consultant","Not available",09035320041,,Yes,5.00,5,55,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
7,"D2S Business Consulting Private Limited","Auditor","Velmurugan Complex, Krishna Rajendra Rd, K.R.Road, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",09738336969,,Yes,5.00,5,55,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
8,"Bangalore Locals","Consultant","Not available",08618575198,,No,5.00,5,85,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
9,"Chakshu Business Consulting","Human resource consulting","#33, 5th Cross Rd, Hennur Main Rd, Mathrushree Eshwarappa Layout, Kothanur, Bengaluru, Karnataka 560077",08884267057,,Yes,4.60,4,55,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
10,"Zybisys","Corporate office","No.29, Srinivasa Tower, 1431/A, 39th E Cross, Kottapalya, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041",08049910367,,Yes,5.00,5,55,new,"",,,Tue Oct 28 2025 19:37:44 GMT+0530 (India Standard Time),
